IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
2,1,105,100.43916999999999,0.4266,1.24476,2.03188,0.279994,0.612412,0.8377829999999999,0.24083200000000002,1.17954,0.198255,0.126609,0.363622861,0.0,0.0,0.824394882,0.454891016173085,4.92982383,-0.396753,9.11674,-0.562509,-1.75193,-0.42,-0.9788,-2.002064,1.102047,-0.8317049999999999,0.8441870000000001,-0.194131,-0.671327,-2.123087,-6.6438559999999995,-0.6301439999999999,1.043081,-6.6438559999999995,-1.508263,-1.416701,0.7363350000000001,0.907075,-6.6438559999999995,-0.644849,-0.482418,0.32111100000000004,-1.540466,1.27615,-6.6438559999999995,ANGPT2,probable
0,1,262,826.5867400000001,0.5789,3.5267800000000005,27.9623,18.0789,5.55724,14.9693,1.0346899999999999,0.559756,0.0437517,0.0713873,0.0,0.0,0.0,0.7359347340000001,0.993084640132559,4.94565415,-0.256961,8.113719999999999,0.32345300000000005,-0.31566500000000003,-1.52,-1.278225,-0.345333,-0.240288,-0.448655,-0.800556,-0.358302,0.182897,-6.6438559999999995,1.8300319999999999,0.8890299999999999,0.193302,-2.064807,-0.232789,0.155375,0.416063,0.77822,-0.8444959999999999,-6.6438559999999995,-1.395415,-2.310835,0.464502,0.752969,-0.5106069999999999,ANO1,possible
0,0,14,13.905829999999998,-0.2705,,,,,,,,,,,,,0.179693475,0.0289831629951808,,,10.6066,,,,,,,,,,,,,,,,,,,,,,,,,,,AP000867.1,least likely
0,0,147,,0.4225,,,,,,,,,,,,,,,,,7.766939999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,AP002884.2,least likely
1,1,26,1533.8745199999998,0.3577,8.65174,63.8193,3181.76,103.448,191.285,3543.25,1154.31,37.2269,2.69857,0.578384088,0.0,0.0,0.460647643,0.0345335830833016,25.5898132,0.949548,8.56601,0.5407109999999999,-0.39119299999999996,,0.9846969999999999,0.26157800000000003,-1.2750629999999998,-0.132356,0.26410500000000003,0.608191,-0.384262,0.152302,0.29592399999999996,0.818733,-0.385999,-0.136219,0.868928,0.363099,0.23645100000000002,2.259792,0.770278,-0.374548,1.222383,0.371872,0.83435,-0.49006000000000005,0.5017659999999999,APOE,most likely
0,1,49,3332.8913,0.5474,57.9542,190.47,11.4668,27.6952,17.3382,30.4087,29.576999999999998,5.11506,0.975289,0.557884944,0.0,0.0,0.13934290400000002,0.0499256381399427,14.629165200000001,-0.997984,9.4829,1.502018,-1.3808120000000002,0.04,-5.36362,-3.149766,1.449647,-1.495088,-0.5747770000000001,0.405443,-0.210133,-0.471866,2.908472,-0.854902,-0.213319,2.598586,-0.365122,-0.44715900000000003,-0.584149,-6.6438559999999995,1.345416,-0.290808,-0.793196,-1.432239,0.341233,-1.353083,-0.650053,AQP1,probable
1,1,47,191.33923000000001,-0.4783,4.38733,15.5675,2.1765,38.8548,17.0841,9.54839,30.3722,13.5657,4.581230000000001,0.0,0.0,0.0,0.537733793,5.1760670770443805e-06,3.71537399,0.282597,8.01291,0.218957,-0.218154,-0.02,0.291977,0.146726,0.259344,0.11629600000000001,-0.247548,0.24354099999999998,0.167732,-0.142192,-0.352194,0.190617,0.186468,-0.333624,0.340043,0.237398,0.30535500000000004,-0.13806500000000002,1.7913869999999998,0.21610700000000002,0.257774,-0.220554,-0.551181,-0.19079400000000002,-0.189839,ARHGEF25,possible
0,0,17,2588.6288,0.3004,0.0,0.227021,0.153082,0.901954,7.10049,0.042907,0.11439300000000001,0.155744,0.0,0.0,0.0,0.0,0.146139458,0.0391826461982656,1.99024055,-1.564454,4.1391800000000005,1.933297,,0.72,1.2276049999999998,1.037917,2.097186,1.532616,1.335035,0.840067,1.4307459999999999,0.9538280000000001,1.45441,2.3976919999999997,1.423253,,1.2719639999999999,0.95,1.196564,,0.927747,1.758202,1.9158509999999997,1.12341,,-1.34281,2.739385,ARMS2,probable
1,1,1,28.864590000000003,-0.1538,16.63,15.7573,12.4646,20.2189,16.1853,15.0878,7.24931,15.5881,11.7242,0.768817187,0.0,0.0,0.718624055,0.9876429666762491,5.35980957,-0.087614,5.87758,-1.6986,0.74216,-0.34,-4.9463,-0.20558099999999999,-0.16631600000000002,-0.302167,-2.690242,0.705136,0.368791,-0.818938,0.198718,-0.133125,-0.125596,0.519407,-0.1511,-1.150809,-0.20959499999999998,-0.613794,0.280159,-0.498133,-3.735955,-0.30636399999999997,0.686451,2.017593,0.64423,ARNTL,possible
0,0,516,2305.0631,-0.5586,7.9326300000000005,16.569000000000003,10.3198,36.2916,19.8891,8.24624,12.3718,1.42731,0.796268,0.0,0.0,0.919866211,0.713784814,8.21839210300339e-07,5.85157295,-0.11673900000000001,10.6463,0.165161,0.368739,-0.05,0.300824,-0.462422,-0.340381,-0.77928,-0.12467,0.294703,0.232317,-0.13005799999999998,0.32852,-0.150206,0.167311,-0.18998199999999998,-0.309342,-0.063113,-0.187101,-0.13836099999999998,-0.295011,-0.472106,-0.258615,-0.302637,0.375904,-0.44319200000000003,-0.224768,ARVCF,probable
0,0,229,162.29015,0.327,5.99023,7.491219999999999,25.1198,12.5933,15.6409,411.564,7.148960000000001,6.63502,2.02104,0.0,0.0,0.0,0.30087763100000003,5.09137965873753e-07,0.0,-0.24794699999999997,3.53689,-0.727564,-0.786234,0.55,-0.742188,-0.498221,-0.707624,-0.6268090000000001,-0.334215,-0.903789,-0.848908,-0.304573,-0.822623,-0.658817,-0.9688690000000001,-0.8894860000000001,-2.006993,-1.474394,-0.616942,-0.874367,-0.684801,-1.1598959999999998,-0.75466,-2.40645,-0.8458559999999999,-1.520809,-0.40618000000000004,AS3MT,probable
1,1,97,1068.9112300000002,0.3647,0.105649,0.06891119999999999,0.023736,60.4789,3.80648,0.048249099999999996,7.13668,0.070952,0.0530847,0.0,0.0,0.0,0.748623252,0.72851478269818,0.0,1.227835,11.9219,-0.22035,0.858509,0.4,-0.8261860000000001,0.741769,0.603996,1.182574,-2.2157419999999997,0.431375,1.384574,0.5739770000000001,-1.069709,-6.6438559999999995,-1.077444,0.5284,-0.534611,-0.543357,-0.213662,-1.854598,0.56088,-1.1667379999999998,1.481008,-0.29855,0.918156,-6.6438559999999995,-0.696574,ASIC4,possible
1,1,19,52.00083,0.2371,2.93186,4.17847,8.46457,3.57324,0.903982,3.15139,0.369003,1.1507100000000001,0.0743396,0.0,0.0,0.0,0.44341918799999996,0.0233215368712169,1.00352946,-0.33775700000000003,11.9668,0.860247,-0.8213799999999999,,-6.6438559999999995,-6.6438559999999995,0.836792,-6.6438559999999995,-2.7662970000000002,-2.343962,-0.651352,0.846865,-6.6438559999999995,-6.6438559999999995,1.065434,1.3661860000000001,0.573317,0.992851,0.714032,-6.6438559999999995,1.9856349999999998,1.356373,-1.5991229999999999,-1.692763,0.43372,0.990246,0.736897,ASPN,possible
0,1,53,35.43011,-0.4331,10.2796,8.43137,4.65923,16.7378,17.3962,5.077380000000001,17.9042,99.37899999999999,38.9581,0.0,0.0,0.0,0.767620981,0.9999975421880649,11.67800063,-0.22292399999999998,4.39689,0.36542199999999997,0.518759,-1.02,-0.884281,0.182662,-0.09703200000000001,1.509722,0.754313,-0.220279,-0.32707600000000003,0.10753,0.288526,0.979215,0.264728,0.09200599999999999,-0.064089,0.43016899999999997,-0.664127,-0.177482,0.360808,-0.11081700000000001,0.794762,0.192296,-0.546928,0.227811,0.14371099999999998,ATP2B1,probable
0,0,256,7.942539999999999,-0.3397,0.0373851,0.0435507,0.0123188,0.07147289999999999,0.10465799999999999,0.07493939999999999,0.0,0.06701549999999999,0.0855784,,,,0.11190837599999999,0.166948561167818,,,9.26248,,,0.32,,,,,,,-1.065688,,,,,,,,,,,,,,,,,ATP5L2,least likely
0,0,34,463.55580999999995,0.3715,4.07969,3.5270099999999998,0.45430200000000004,5.81123,2.21285,0.591067,4.23468,1.01728,49.6889,0.35893075700000004,0.0,0.0,0.79961127,0.337855763889345,12.578549699999998,0.395413,8.033660000000001,-0.47858,-1.141365,-0.19,0.722441,-0.417547,-0.286526,0.563952,-0.477416,0.47913900000000004,-0.119617,0.262633,-0.190091,0.10186100000000001,0.15192,0.243885,0.165076,-0.27569299999999997,0.204538,0.290083,0.502155,-0.16634000000000002,-1.513681,0.367698,0.114044,0.624264,-0.350696,BCL2,probable
0,1,14,2261.17843,0.2663,0.0511744,0.16485999999999998,0.0434151,1.20793,0.793846,0.146828,0.9318209999999999,2.01478,0.056441899999999996,0.0,0.0,0.0,0.7969835999999999,0.9467193084790179,9.78859286,0.740153,8.18608,-0.331336,-0.8560989999999999,0.44,-1.504783,1.324891,-1.693179,-6.6438559999999995,-1.414418,-2.467515,0.22487800000000002,-0.6395390000000001,1.368685,-0.464901,0.263623,0.249271,-0.25669000000000003,0.701987,-2.809596,0.88569,-6.6438559999999995,1.8526029999999998,2.302165,-2.231965,-0.340264,1.946759,,BDNF,probable
0,1,109,95.45994,0.2821,0.473483,1.16585,0.24766300000000002,2.19466,3.50066,1.04275,7.32468,1.01722,0.00961728,0.0,0.0,0.0,0.852899194,0.9917043713918909,5.90929868,-0.202963,7.487419999999999,0.5067189999999999,-3.7423800000000003,-0.76,-0.349609,0.192904,0.12086600000000002,1.542701,0.177796,-6.6438559999999995,0.459038,0.20378,-0.520185,0.287248,0.433674,0.10926500000000001,-0.101565,-1.1398110000000001,-0.232602,-0.34970300000000004,1.040278,-0.44811999999999996,0.864037,-0.264899,0.453971,-6.6438559999999995,-0.139993,BMPR1B,possible
