Gene	interactors
RPL22	ABCE1, ATP1B3, C7orf55-LUC7L2, CBX8, CDC5L, DHX15, EEF2, ERF, ETF1, FAU, FOXK1, GNB2L1, GTF3C4, HEXB, HNRNPM, HNRNPU, HNRNPU-AS1, HRH2, ILF3, LBP, LUC7L2, MPP4, NFX1, NOV, OST4, POU5F1, PRAME, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RWDD2A, SDCBP, SDCBP2, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, SRPK2, STAC3, STRAP, SURF6, UBA52, UBC, WDR76, ZCCHC10
RPL22L1	BRD1, BRPF1, C17orf70, CCDC85B, DLD, L3HYPDH, LDHD, MDM2, SDCBP2, VMAC
RPL23	ABCE1, APRT, ARL3, ASS1, BCCIP, BRIX1, CNDP2, CRK, DDX18, DDX27, DDX55, DLD, EEF1A1, EEF2, EIF3A, EIF6, ERF, ETF1, FAU, FBL, FSTL4, GNB2L1, GNL3, GSPT1, HBS1L, HNRNPM, ILF2, IPO5, LBP, LRRK2, LTN1, MAPKAP1, MDM2, MRPL12, MRPL23, MRPS11, MRPS14, MRPS5, MTOR, MYC, NACA2, NDUFS4, NHP2L1, NIFK, NOP2, NOV, OST4, PELO, PES1, RICTOR, RNPS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRS1, SEC61A1, SEC61B, SEC61G, SERBP1, SIRT6, SMEK2, SRP14, SRP19, SRP54, SRP9, TP53, TUFM, UBA52, UBC, UQCRB, USP14, WIBG
RPL23A	ABCE1, DARS, EEF1A1, EEF1E1, EEF2, ERF, ETF1, FAU, GFM1, GNB2L1, GNL2, H2AFX, HNRNPM, HNRNPU, HNRNPU-AS1, HSP90AA1, IARS, ILF2, ILF3, INO80B, IPO5, IPO7, IPO8, KIAA0020, LBP, LTN1, LYAR, MAPKAP1, MDM2, MIP, MPP4, MRPL15, MRPL16, MRPS10, MRPS7, MRTO4, MTOR, MYBBP1A, NHP2L1, NOLC1, NOM1, NOP2, NOV, NPM1, OST4, PA2G4, RICTOR, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL24, RPL26, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRS1, SEC61A1, SEC61B, SEC61G, SERBP1, SF3B1, SLC1A2, SRP14, SRP19, SRP54, SRP9, TNPO1, TUFM, UBA52, UBC, VASN
RPL24	ABCE1, CHCHD2, CNBP, DEFA5, DNMT3L, EEF1A1, EEF2, EIF4A3, ERF, ETF1, FAU, FBL, GART, GEMIN4, GNB2L1, GSPT1, HBS1L, INO80B, KDM1A, LBP, LSMD1, LTN1, MAGOH, MAGOHB, MAK16, MRTO4, NAA38, NAP1L1, NCL, NOM1, NOV, NPM1, NSA2, OR52J3, OST4, PA2G4, PEA15, PELO, POU5F1, PRR11, PSMB1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL26, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRP7A, RRP8, SEC61A1, SEC61B, SEC61G, SERBP1, SF1, SRP14, SRP19, SRP54, SRP9, STRAP, TIMM13, TRAF3IP1, UBA52, UBC
RPL26	ABCE1, ATP1B1, ATP1B2, ATP1B3, BRIX1, DARS, EEF1A1, EEF1E1, EEF2, EIF4A3, ERF, ETF1, FAM134B, FAU, FBL, GNB2L1, GSPT1, HBS1L, HMX3, LBP, LSMD1, LTN1, MAGOH, MAGOHB, MDM2, MTOR, NAA15, NAA16, NAA30, NAA38, NAT2, NOV, OST4, PELO, PELP1, RICTOR, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, TP53, TRIM29, UBA52, UBC, ZC3HAV1, ZNF317
RPL26L1	ACAD9, ATP1B3, C14orf166, DDX1, DDX31, DHX9, GRP, HNRNPM, IGF2BP3, IMP3, KIAA0020, KNOP1, LSM4, LSMD1, MAGOH, MAGOHB, MAK16, MRE11A, MRPL47, NAA38, NCL, NOL12, NOV, NSA2, OLA1, PPIH, QARS, RBM34, RFC4, RPF1, RPL10A, RPL12, RPL13, RPL14, RPL15, RPL17, RPL18, RPL21, RPL22, RPL23, RPL27, RPL27A, RPL3, RPL30, RPL32, RPL34, RPL35, RPL36, RPL4, RPL5, RPL6, RPL7A, RPL8, RPLP2, RPS13, RPS15, RPS16, RPS18, RPS26, RPS29, RPS6, RPS8, RPS9, RRP8, RTCB, SART3, STAU1, ZC3H8, ZC3HAV1, ZNF22, ZNF317
RPL27	ABCE1, BRIX1, CNBP, DDX1, DDX18, DDX21, DDX56, DHX9, EBNA1BP2, EEF1A1, EEF2, ERF, ETF1, EVPL, FAU, FLII, FUT8, GNB2L1, GSPT1, GTPBP4, HBS1L, HNRNPM, ILF3, INO80B, KIAA0020, KNOP1, LBP, LTN1, MPP4, MRE11A, MRTO4, NDUFS1, NGB, NOC2L, NOV, NSA2, OST4, PA2G4, PABPC1, PABPC4, PELO, PES1, PSMD1, QARS, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRS1, RTCB, SEC61A1, SEC61B, SEC61G, SERBP1, SLC25A3, SRP14, SRP19, SRP54, SRP9, UBA52, UBC
RPL27A	AIMP1, AIMP2, CCAR2, DARS, EBNA1BP2, EEF1E1, EEF2, EIF2A, EIF2S1, EIF4A3, FAU, GNB2L1, HNRNPA1, INO80B, LBP, MAGOH, MAGOHB, MARS, MI NOM1, NOV, PABPC1, PAK1, PES1, QARS, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36AL, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SERBP1, UBA52, UBC, MI RPL21, NOM1
RPL28	C1orf106, CCNDBP1, EIF4A3, FTSJ3, GRSF1, INO80B, KIAA0020, MAGOH, MAGOHB, PA2G4, PWP1, RBM28, RBM34, RPF2, RPL13, RPL14, RPL19, RPL21, RPL23, RPL23A, RPL27, RPL3, RPL30, RPL32, RPL34, RPL35, RPL36, RPL38, RPL4, RPL5, RPL7, RPL7A, RPL8, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS23, RPS25, RPS29, RPS3, RPS3A, RPS6, RRP1, RRP8, SGOL1, STAU1, TCOF1, TDRD3, WHSC1
RPL29	BLMH, BTF3, DES, EEF2, EIF4B, EIF5, FAU, GNB2L1, HSP90AA1, ILF3, LBP, MPP4, NOC4L, POU5F1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL3, RPL30, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRS1, SERBP1, SLC9A3R2, SRP14, SRP19, SRP54, SRP9, UBA52, UBC, UBE3A
RPL3	CDH2, CNBP, DARS, EBNA1BP2, EEF1A1, EEF2, EIF3A, EIF4A3, EIF6, FAU, GLTSCR2, GNB2L1, HEXIM2, HSP90AA1, HSP90AB1, HSPA1L, ICT1, ILF3, INO80B, KIAA0020, KNOP1, LBP, MAGOH, MAGOHB, MAK16, MPP4, MYC, NCL, NENF, NFX1, NOM1, NOV, NPM1, PABPC1, PPT2, RAC1, RBM34, RNPS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36AL, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRP12, RRP8, RRS1, SEC61A1, SERBP1, SF3B1, SIRT6, SLC1A2, SRP68, TUFM, UBA52, UBC
RPL30	ABCE1, BOP1, BRIX1, CCDC137, CNBP, DDX10, DDX21, DDX24, DDX27, DDX56, EBNA1BP2, EEF1A1, EEF1A2, EEF2, ERF, ETF1, FAU, FTSJ3, GNB2L1, GNL2, GPATCH4, GTPBP4, GZF1, HNRNPM, HNRNPU, HNRNPU-AS1, IMP4, INO80B, KAT5, KIAA0020, LBP, LLPH, LTN1, LYAR, MAK16, MYBBP1A, NEMF, NGB, NHP2L1, NIFK, NIP7, NLE1, NOP2, NOP58, NOV, NSA2, OST4, PA2G4, PAK1IP1, PAPD5, POLR1B, POLR3B, POU5F1, PPAN-P2RY11, RBM28, RBM34, REXO4, RPA2, RPF1, RPF2, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL7L1, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRP8, RSL24D1, SEC61A1, SEC61B, SEC61G, SERBP1, SMARCA5, SRP14, SRP19, SRP54, SRP9, STAU1, SURF6, TAF1A, TTF1, TUBB, UBA52, UBC, WHSC1, ZC3H10, ZC3HAV1, ZFP62, ZNF142, ZNF354A, ZNF512, ZNF668, ZNF771
RPL31	BRCA1, CDC5L, CLEC14A, CTCF, DDX21, DDX27, DHX15, DHX9, EBNA1BP2, EEF1A1, EEF2, EIF3A, EIF4A3, EIF6, FTSJ3, HNRNPM, HNRNPR, HRH2, ILF2, INO80B, LBP, LYAR, MOGS, MOV10, MRTO4, NAP1L1, NHP2L1, NIFK, NOP56, NOV, PES1, POU5F1, RBMXP1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL27, RPL27A, RPL3, RPL30, RPL34, RPL35, RPL35A, RPL36, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SRP68, SSB, TBP, TUFM, UBC
RPL32	ABCE1, CALU, CDH2, CNBP, EEF1A1, EEF2, ERF, ETF1, FAU, GNB2L1, GPATCH4, GRP, GSPT1, HBS1L, HSP90AA1, HSP90AB1, ILF3, KIAA0020, LBP, LSM4, LSMD1, LTN1, MAK16, MPP4, MTHFD1, NAA38, NACA2, NENF, OST4, PELO, PPIH, RBBP8, RBM34, RBM4, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRP8, RRS1, SART3, SEC61A1, SEC61B, SEC61G, SERBP1, SLC1A2, SRP14, SRP19, SRP54, SRP9, THAP7, TUFM, UBA52, UBC, WDR46, ZC3HAV1, ZNF512
RPL34	ABCE1, CDK4, CDK5, EBNA1BP2, EEF1A1, EEF2, EIF3A, EIF6, ERF, ETF1, FAU, GNB2L1, GSPT1, HBS1L, KBTBD7, LBP, LTN1, OST4, PELO, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, TBP, UBA52, UBC
RPL35	ACTB, ATP1B3, EEF2, EIF3D, FAU, GNB2L1, LBP, LGALS2, LGALS3, NOV, PABPC1, RNPS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35A, RPL36, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SERBP1, SND1, TXNDC16, UBA52, UBC
RPL35A	CNBP, EEF2, FAU, GNB2L1, HNRNPUL2, KIAA0020, LBP, LTN1, MTHFD1, NOV, NUMA1, RBM34, RNPS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL36, RPL36AL, RPL37, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRS1, RTF1, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, UBA52, UBC
RPL36	AIMP1, C19orf43, CNBP, DARS, DDX18, DDX42, DHX15, EEF1E1, EEF2, EIF3A, EIF6, FAU, GNB2L1, GPATCH4, GTPBP4, HNRNPDL, HRH2, HSD17B12, KIAA0020, KNOP1, LBP, LTN1, NGB, NOV, PTBP1, RNPS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL37, RPL37A, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, UBA52, UBC, WDR12, ZC3HAV1
RPL36AL	C22orf43, DHX8, HIST1H1A, HRH1, RBM34, RPL10A, RPL27A, RPL3, RPL35A, RPS15, RPS27, SET, ZNF22
RPL37	ABCE1, EEF1A1, EEF2, ERF, ETF1, FAU, GNB2L1, GSPT1, HBS1L, LBP, LTN1, MDM2, MDM4, MFAP1, OST4, PELO, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37A, RPL38, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RTF1, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, SRPK1, UBA52, UBC
RPL37A	ABCE1, AHCYL1, BRIX1, BUD13, CCDC137, CEBPZ, CNBP, DDX10, DDX21, DDX24, DDX27, DDX56, DEK, DHX30, DHX9, EBNA1BP2, EEF1A1, EEF2, EID1, EIF2S2, EIF3A, EIF3I, EIF4A3, EIF6, ERF, ETF1, FAU, FTSJ3, GLTSCR2, GLYR1, GNB2L1, GNL2, GNL3, GPATCH4, GSPT1, GTPBP4, H2AFY2, HBS1L, HIST1H1E, HIST1H2AD, IGF2BP1, IGF2BP3, IMP3, IMP4, KIAA0020, KNOP1, LBP, LTN1, LYAR, M6PR, MPHOSPH10, MYBBP1A, NAP1L1, NCL, NFIA, NGB, NHP2L1, NIFK, NIP7, NKX3-1, NOC3L, NOP2, NOP56, NOP58, NOV, NPM1, NSA2, OST4, PABPC1, PAK1IP1, PAPD5, PELO, PPAN, PPAN-P2RY11, PRPF40A, PRPF8, RBM25, RBM28, RBM34, REXO4, RPF1, RPF2, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL38, RPL3L, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL7L1, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRP1, RRP8, RRS1, RSL24D1, SART3, SEC61A1, SEC61B, SEC61G, SERBP1, SRP14, SRP19, SRP54, SRP9, STAU1, STAU2, SURF6, TPR, TTF1, TUFM, U2AF1, U2AF2, UBA52, UBC, WDR46, WHSC1, ZBP1, ZC3H10, ZC3HAV1, ZFP62, ZNF2, ZNF22, ZNF512
RPL38	ABCE1, BCCIP, CD14, DUT, EEF1A1, EEF1G, EEF2, ERF, ETF1, FAU, GNB2L1, GSPT1, HABP4, HBS1L, LBP, LILRB3, LTN1, MEPCE, MRPL34, MRPL53, NDUFA2, NDUFA7, NOV, OST4, PELO, PES1, PLCG1, RBMS1, RPL10A, RPL10L, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL17-C18orf32, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL37, RPL37A, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RRBP1, RRP1, RUVBL2, SEC61A1, SEC61B, SEC61G, SERBP1, SLC1A2, SLIRP, SOX17, SRP14, SRP19, SRP54, SRP9, SRPRB, UBA52, UBC, ZC3HC1
RPL39L	RWDD2A, SRPK2
RPL3L	C1orf106, PABPC4, RPL11, RPL13, RPL14, RPL15, RPL18, RPL18A, RPL19, RPL21, RPL23, RPL23A, RPL24, RPL27, RPL27A, RPL30, RPL36, RPL37A, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPS16, RPS18, RPS2, RPS20, RPS23, RPS25, RPS26, RPS6, RPS8, RPS9
