Gene	interactors
ACACB	HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HIST4H4, HLCS, PRKAA2, RGS1
ACAD10	ETNK1, GARS, NDUFA10, OSR1, OXSR1, PLS1, SMAD1, TIPRL
ACAD11	CD2BP2, CNTN5, FAM64A, NR4A1, NSFL1C, PDYN, PEX5, PPP6R1, PPP6R3, SLC7A6OS, TBKBP1, UBXN7, ZMYM5
ACAD8	ABHD11, ACADSB, CYP2C18, FAM161B, POLM, SRGAP2, SRGAP3, TRUB2, VPS37D, VSTM2A
ACAD9	ABCF2, AGMAT, C15orf48, C17orf89, CD14, DBT, DLAT, ECSIT, ERAL1, FAF2, FAS, MARVELD2, MRPL1, MTRF1L, NDUFA13, NDUFA2, NDUFA4, NDUFA8, NDUFAF1, NDUFAF3, NDUFAF4, NDUFAF5, NDUFB5, NDUFC2, NDUFS2, NDUFS3, NDUFS5, NDUFS7, NIT1, P2RY12, PDK1, PDK2, PDSS1, PDSS2, RFX3, RPL26L1, SDHA, SSR1, TIMM50, TIMMDC1, TMEM126B, TRMT61B, VAMP2, VDAC1
ACADL	APP, MTHFD2, SYT2, TGM1, TMPRSS11A
ACADM	AASS, AHSA1, ARF1, ARF4, ARF5, ATP1A1, ATP5C1, ATP6V1A, ATP9A, CAND1, CANX, CCT6B, CLPP, CTSD, DDOST, DDX39B, DNAJA1, ETFA, FAF2, FAXC, GALE, GFPT1, GFPT2, HIBCH, HSP90B1, IDH3A, LDHA, LDHB, MADD, NFS1, PLD1, POR, PPP2R1A, PPP2R1B, PRKCSH, PSMC2, RAB2A, RPN1, SEC63, SLC25A3, SUCLA2, SUCLG2, TECR, UQCRC2, VDAC1, VDAC2, WBP1
ACADS	ARAP3, ARHGAP26, CLIC4, DGCR14, KIF6, LYRM2, SEC22C, SEPHS1, TSSK2
ACADSB	AAR2, ACAD8, ACTR1A, CLPP, FAF2, KDSR, PRG2, PRSS16, PXDN, PXN, YTHDF1
ACADVL	ALB, APC, ATP5L, C17orf105, CDK1, COQ9, COX6B1, DCUN1D5, DENR, DHRS4, EEF2K, EIF4A3, FASTKD3, HIBCH, HMGCL, INTS9, MAP2, METAP2, NDUFA13, NDUFA4, NDUFAF4, OXLD1, PA2G4, SCGB1A1, SOCS3, SURF1
ACAN	AATK, ADAMTS1, ADAMTS4, ADAMTS5, CLGN, CTSB, FBLN1, FBLN2, HAPLN1, LUM, MMP1, MMP14, MMP19, MMP2, MMP20, MMP3, MMP8, PCOLCE, TNFAIP6, TNR
ACAP1	AKT1, ARF6, BOP1, GRB2, IFFO1, ITGB1, NEBL, RAB11FIP3, RABGAP1L, TFRC, UQCRB, VAMP3
ACAP2	ACAT1, EHBP1, GPAA1, MBOAT7, NDUFA9, NDUFS1, PIGS, RAB11FIP3, SOAT1
ACAP3	AKT1, APEX1, ATG5, ATG7, BRINP1, CCNB1, CDK1, CDKL1, CHD3, CSNK2A1, CSNK2A2, CSNK2B, CTNNB1, DNMT1, DVL1, DVL2, EP300, FOXO1, FOXO3, HAP1, HES1, HEY2, HIC1, IRS1, IRS2, KAT2B, MECOM, MTOR, MYCN, NBN, NMNAT1, NOC4L, NOS3, NR0B2, PIK3R1, PML, RARA, RPS19BP1, RPTOR, RRP8, SART1, SETD7, SIRT1, SMAD7, SNW1, SREBF1, TP53, TP73, TSC2, WRN
