,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
216,0.0,0.0115418,0.0241142,0.0,0.0,0.0153087,0.00789426,0.0,0.0169276,0.0,24.2194,0.0,0.0,0.0,0.0,0.0,0.00915226,0.0154414,0.0,0.0098751,0.0102323,0.111908376,2.09542255826793e-06,2.83541315,456.0088,-0.26,7.1568139,67.92,16.05564209999999,2
217,0.0,0.187346,0.121653,0.202323,0.0546085,0.156472,0.104861,0.663842,0.148904,0.101898,1.07205,0.0,0.0,0.0,0.0,0.0,0.166207,0.0221031,0.0,0.0420159,0.0543993,0.24942217535,0.0121987327934538,2.83541315,288.9610969000001,0.2025999999999999,6.728823950000005,3.33,13.221841349999998,3
219,9.65339,6.6971,0.744032,15.352,25.7704,36.9722,2.28993,4.33796,4.52416,2.80326,7.89733,0.47905,0.0,0.0,0.0,0.0,8.88177,11.8108,4.35124,0.465871,11.4628,0.396258533,0.138254693826932,1.70705006,5.42256,-0.1805999999999999,10.53455,13.89,12.4815,2
220,0.746704,3.96694,44.9426,4.36673,8.56327,21.454,4.60587,1.41068,2.61952,1.48948,8.64447,0.313403,0.348657503,0.0,0.0,0.0,4.12684,2.90529,2.77294,19.8808,7.04714,0.24992983,4.08793061635348e-05,2.80599269,1258.99689,0.19,8.8736,20.0,33.1141,2
221,4.27075,14.0731,8.35271,21.5702,28.7908,45.3707,13.3464,15.4363,17.3857,21.3391,17.4155,4.11091,0.0,0.0,0.0,0.0,73.3097,26.3926,5.3077,26.2205,46.2352,0.711244583,2.235256588012409e-11,7.64984675,739.111,-1.53,5.30496,6.0,12.6866,2
222,1.65223,220.784,20.411,6.4533,296.464,4.81003,4.70257,908.374,155.932,69.2217,5.12427,0.405163,0.0,0.0,0.0,0.0,3.28909,4.1066,77.6151,0.504492,0.773045,0.412359506,0.0227861893272512,1.99981095,7.02105,0.08,8.277457599999998,1.0,13.5698242,2
223,0.341292,1.3588,0.931666,9.0081,1.00745,0.20857,0.185224,0.400951,4.40762,5.959,3.59634,0.108625,0.0,0.0,0.0,0.0,0.924632,0.20896,0.0794955,0.285979,0.0,0.111908376,0.0053339521808494,2.91856516,4.13391,0.26,9.4315,13.0,11.6902757,2
225,3.35375,15.3655,8.50649,41.5963,23.0757,12.5607,48.5136,38.6423,24.4323,10.3203,9.78151,2.25261,0.0,0.0,0.0,0.0,101.017,31.5808,9.27964,4.17825,22.0438,0.468691528,0.698896026820601,1.99953888,33.02557,-0.54,8.00873,1.0,7.82704,2
226,3.11601,4.75228,1.77935,6.78136,7.21917,9.44086,2.40403,5.32359,4.02341,4.33392,22.6726,1.09024,0.0,0.0,0.0,0.0,9.65055,7.95317,1.89659,4.79215,9.28075,0.329471231,4.57519538498037e-05,3.357124840699998,2549.71699,0.26,6.92205,0.0,20.4461,2
227,9.2445,40.0149,12.0847,136.914,48.0358,22.6396,17.2934,17.4754,107.574,351.646,4.66271,448.898,0.0,0.0,0.0,0.0,16.1721,27.4123,8.32751,172.316,67.1649,0.672466934,0.0035729829393944,16.67487679,390.29064,-0.6919999999999997,7.14497,70.0,13.836,2
228,0.413398,0.438187,2.02245,1.26077,5.72334,68.9229,0.144646,0.465781,0.953244,6.45343,47.4677,0.0925604,0.689017074,0.0,0.0,0.0,3.69447,1056.44,2.14515,1.11739,1.07166,0.26082927,6.60264967270784e-09,2.4194034,54.70654,0.02,7.63274,1.0,12.5385,2
