Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,pLI_ExAC,HIPred,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median
43.04243890000002,47.45002799999998,47.63183930000001,109.68765800000001,101.50160300000002,74.53343400000003,86.83961999999998,54.685732,75.322863,75.862335,203.1547353900001,0.18138408626999997,0.0,0.0,0.0,83.95956000000004,58.674090000000035,27.614006399999997,57.08136409999998,68.88228099999998,0.18943488226982996,0.56066209097,3568.46662,-0.5852999999999998,15.58825,17.61,3.60642
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
54.0585,39.5858,183.302,91.4926,42.8162,54.3042,66.2419,49.6168,20.653,19.1063,17.4749,0.0,0.0,0.0,0.0,29.6171,85.9966,69.9971,5.42451,13.043,1.73e-06,0.211613655,516.20171,-0.84,7.57405,123.0,9.25561
6.36784,6.21068,10.0195,12.3813,20.0034,18.6659,10.4675,10.1886,11.7598,40.9381,3.49969,0.427016488,0.0,0.0,0.0,14.0895,19.4713,7.35476,26.0403,28.9,1.01e-05,0.429269791,735.17295,0.49,9.98719,5.0,36.298
0.066971,0.158132,0.0212692,0.102323,0.083221,0.0785135,120.243,0.433392,0.210661,0.715438,0.0656031,0.0,0.0,0.0,0.0,0.438421,0.046668,0.674148,0.237056,0.0331925,0.173314448,0.63040787,141.88222,-0.62,6.04144,7.0,9.228645
4.54973,3.82487,2.81922,122.496,18.2709,3.68759,7.91902,39.2393,134.889,4.34783,284.285,0.0,0.0,0.0,0.0,3.61988,9.25928,2.47015,70.5178,0.0487178,0.001644393,0.679628551,89.21156,-0.95,5.22174,3.0,5.09531
3.79948,4.23834,2.26565,118.457,21.0176,8.6604,4.08023,20.6441,94.8225,2.71779,673.54,0.0,0.0,0.0,0.0,2.89518,16.7537,3.74376,21.991,0.424703,0.846184682,0.652875006,12.92759,-0.23,15.666,4.0,6.80392
0.0392955,0.023631,0.0109193,0.0788641,0.0739866,0.0860205,71.1954,0.0749138,0.0427797,2.20636,0.0417872,0.0,0.0,0.0,0.0,0.606338,0.0285622,0.330147,0.0689236,0.285812,2.16e-13,0.179693475,991.24555,-1.0,3.47782,7.0,14.6607
8.66899,12.7715,18.4393,35.0541,25.8106,43.2921,17.0995,22.421,54.942,17.5333,54.8037,0.0,0.0,0.0,0.0,138.414,27.1873,29.0841,30.0986,36.3016,0.008542497,0.636561334,1844.00657,-1.46,14.066,4.0,13.7421
0.024534,0.0377421,0.0279385,0.0599299,0.0819976,0.0782092,0.0316577,0.0413022,0.0547696,0.0326854,0.0123529,0.0,0.0,0.0,0.0,0.0567656,0.0312057,0.0157173,0.021762,0.0147121,0.23229687117518502,0.3235383583899999,350.1572374,0.009599999999999978,7.003769749999999,5.57,14.116474299999995
0.0517674,5.1298,133.778,0.105909,0.189999,0.414748,0.166041,0.0635618,0.0593393,0.276104,0.0141561,0.586605732,0.0,0.0,0.0,0.452469,0.0609483,0.0181759,0.050474,0.0407805,2.12e-07,0.338818938,115.97808,-0.11,7.371085900000001,2.0,17.46932749999999
17.6811,13.3967,74.1637,39.763,43.0904,6.24985,29.6137,16.5487,12.2449,10.3405,0.37187,0.0,0.0,0.0,0.0,14.9471,17.5509,18.4097,0.587753,33.256,9.46e-09,0.170125708,1333.38747,0.11,9.16421,12.0,7.97087
0.128712,0.262844,18.5296,1.01985,0.465269,0.587255,0.383504,3.6509,5.85898,4.01012,0.749771,0.0,0.0,0.0,0.0,0.814494,0.483041,0.476766,66.634,0.603887,2.77e-08,0.207913831,89.90353,0.043299999999999984,6.57418,1.0,2.58493
4.44697,4.49394,5.50107,14.5254,20.4449,12.8128,15.0599,15.1001,13.7969,18.2017,2.99435,0.0,0.0,0.0,0.0,9.64228,6.59728,5.13599,19.7505,11.3962,0.999985244,0.414402038,2134.60639,-0.11,5.25902,11.0,13.099
15.137,9.31738,11.6004,52.8489,26.9069,49.3935,14.9726,19.3786,9.50619,11.3179,4.16033,0.0,0.0,0.0,0.0,9.53371,19.9487,4.07681,27.5578,46.3747,4.52e-20,0.250911236,619.32231,-0.08,7.64181,8.0,7.74336
68.4508,62.8432,39.9267,200.948,259.175,284.005,196.339,172.072,170.583,119.17,77.6331,0.0,0.0,0.0,0.0,107.082,94.253,79.7485,500.252,419.225,0.957395493,0.462691694,31.817,-0.16,7.38891,3.0,11.7103
65.9137,47.6067,12.1989,84.441,69.1235,59.0285,43.7061,68.2412,52.3466,18.4901,92.0807,0.0,0.0,0.0,0.0,21.0549,16.2904,15.7792,71.8725,76.5178,3.46e-06,0.569592476,6250.3857,0.49,10.9099,11.66,11.7263
0.0524632,34.4731,0.384314,19.5592,0.0737693,0.145181,46.769,29.4727,0.445648,15.1454,0.549453,0.0,0.0,0.0,0.0,52.4131,0.0551289,0.31359,0.0641213,0.123866,0.001345952,0.64561969,52.57422,-0.87,6.62341,1.0,8.5168
16.6949,30.3438,20.4647,51.0206,56.3247,42.6338,32.2965,35.5712,98.8687,46.7254,13.0263,0.0,0.0,0.0,0.0,48.7998,26.861,21.9352,19.92,41.1213,0.999932215,0.824708164,31.30469,-1.77,8.46734,6.0,7.54677
2.91486,2.0088,1.89882,6.01263,9.32949,6.35239,8.77539,5.34137,5.94676,6.40427,1.22809,0.0,0.0,0.0,0.0,5.05289,4.26876,1.6542,10.5129,13.5575,0.979862099,0.579295993,3652.51436,-0.66,7.66947,3.0,42.1676
3.44551,2.51156,2.5885,7.71383,9.07154,5.96271,6.15583,9.80838,7.52095,5.90447,1.81865,0.0,0.0,0.0,0.0,6.96671,5.59257,34.1085,8.74471,12.5899,0.999999928,0.731391132,395.17068,-2.52,8.12909,3.0,30.4657
30.8052,41.2562,199.682,107.441,79.2238,83.0375,67.6701,55.8646,110.907,122.463,252.478,0.0,0.0,0.0,0.0,148.091,64.2658,46.3156,55.4406,170.303,2.36e-07,0.349588096,582.05286,0.58,6.71752,6.0,22.1884
