IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,mousescore_Exomiser,humanscore_Exomiser,fishscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Colon_Transverse_GTExFC,Nerve_Tibial_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Gene,BPlabel
0,0,256,7.942539999999999,-0.3397,,,,0.166948561167818,0.11190837599999999,,,9.26248,,,0.32,,,,,,,-1.065688,,,,,,,,,,,,,,,,,ATP5L2,least likely
0,0,34,463.55580999999995,0.3715,0.35893075700000004,0.0,0.0,0.337855763889345,0.79961127,12.578549699999998,0.395413,8.033660000000001,-0.47858,-1.141365,-0.19,0.722441,-0.417547,-0.286526,0.563952,-0.477416,0.262633,-0.119617,0.47913900000000004,0.165076,0.10186100000000001,0.15192,0.243885,-0.190091,-0.27569299999999997,0.204538,0.290083,0.502155,-0.16634000000000002,-1.513681,-0.350696,0.367698,0.114044,0.624264,BCL2,probable
0,1,14,2261.17843,0.2663,0.0,0.0,0.0,0.9467193084790179,0.7969835999999999,9.78859286,0.740153,8.18608,-0.331336,-0.8560989999999999,0.44,-1.504783,1.324891,-1.693179,-6.6438559999999995,-1.414418,-0.6395390000000001,0.22487800000000002,-2.467515,-0.25669000000000003,-0.464901,0.263623,0.249271,1.368685,0.701987,-2.809596,0.88569,-6.6438559999999995,1.8526029999999998,2.302165,,-2.231965,-0.340264,1.946759,BDNF,probable
0,1,109,95.45994,0.2821,0.0,0.0,0.0,0.9917043713918909,0.852899194,5.90929868,-0.202963,7.487419999999999,0.5067189999999999,-3.7423800000000003,-0.76,-0.349609,0.192904,0.12086600000000002,1.542701,0.177796,0.20378,0.459038,-6.6438559999999995,-0.101565,0.287248,0.433674,0.10926500000000001,-0.520185,-1.1398110000000001,-0.232602,-0.34970300000000004,1.040278,-0.44811999999999996,0.864037,-0.139993,-0.264899,0.453971,-6.6438559999999995,BMPR1B,possible
2,1,309,105.00582,0.2941,0.494209116,0.0,0.0,0.6793799721403089,0.45162212799999996,1.99950007,0.678423,7.97042,0.38313,0.678715,0.08,0.44636499999999996,0.30929,0.37003800000000003,0.32769499999999996,0.625174,0.391125,0.327342,0.62613,0.713915,0.5951029999999999,0.42858,0.391519,0.49717100000000003,0.652726,0.385128,0.320254,0.401457,0.589765,0.780775,0.408895,0.789604,0.534168,0.412224,C1GALT1,possible
0,0,49,,-0.1845,,,,4.9976768770852305e-06,0.17792584,,,9.46396,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,C1orf192,least likely
0,0,202,,0.5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C21orf90,least likely
0,0,241,,-0.3624,,,,,,,,9.03825,,,,,,,,,,,,,,,,,,,,,,,,,,,C6orf123,least likely
1,1,528,5.07717,0.3445,0.0,0.0,0.0,0.7753759738882099,0.8366215229999999,0.0,0.41888100000000006,9.43683,2.115381,1.1072950000000001,-0.05,1.974441,0.41518599999999994,0.19250899999999999,-3.4916400000000003,0.39092,0.513081,,-0.678064,-0.926989,1.327652,,-0.341544,-1.626539,,0.232296,0.43698000000000004,2.3958310000000003,-1.348771,1.407597,0.278406,,,-0.496151,CA7,probable
0,1,22,257.23512,1.2559,0.49943406700000004,0.0,0.0,0.99999843310185,0.693781972,6.87689431,0.271914,8.68547,0.30704000000000004,1.151255,-2.09,-2.771541,-0.07785399999999999,-0.055055999999999994,0.217387,0.352641,-0.11526900000000001,0.387246,-0.246612,-0.125676,-1.860728,0.351831,-0.522759,0.501587,0.17585499999999998,0.250806,-0.62274,1.8312439999999999,0.058396,-1.001574,-0.199018,-1.230235,0.077882,0.35482600000000003,CACNA1C,most likely
