wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
15,19.37612,0.311958,0.122681,0.454875,0,0,0,0.111908376,1.98266541,-3.823331,8.09752265,0.423567,0.13,-2.570536,-2.176795,-0.62999351,0.715396,0.581463,-6.643856,-0.53611475,-1.00198201,1.234554,-6.643856,-6.643856,-0.519603
99,147.30048,3.07379,0.125581,1.77645,0.363622861,0,0,0.553528666,14.88905883,0.316181,9.30916,1.020385,0.31,0.225813,-0.163561,-1.051291,0.419937,-0.246241,0.490627,-1.320466,0.404302,0.19249,0.937646,-1.799284,1.275936
81,656.55651,5.80662,1.9184,7.48491,0,0,0,0.488307536,4.70997211,-0.138644,8.29593,-0.102351,-0.58,0.254913,-0.218051,-0.153044,0.140331,-0.135071,-0.185743,-0.166527,-0.156679,-0.105631,0.275503,0.581276,0.233398
30,899.40808,74.9705,54.2047,73.9433,0,0,0,0.581228554,8.44786072,0.195082,9.63636,-0.184652,0.46,0.402766,1.46018,-0.421202,0.923207,-0.131867,1.849184,-0.997811,0.608183,0.10656,0.2474,-0.32449,0.872475
124,3228.09595,9.42215,5.99015,59.4449,0,0,0.957427108,0.396241546,8.67033304,-0.152964,10.4058,0.141392,0.09,0.132439,0.135482,0.095514,0.142358,-0.060034,0.316864,0.17023,0.28161,0.043169,0.076075,0.151193,0.138953
230,579.86625,41.8648,1114.93,3.1872,0,0,0.957427108,0.332020491,4.7073544,0.328403,8.53821,-0.5619,1.64,1.488432,1.324236,-0.262989,-0.747575,-0.626681,-0.263997,0.644855,-0.566514,0.257709,0.961434,-1.279628,-1.215169
280,36.30666,49.411,19.4902,119.375,0,0,0,0.72829324,0,-0.126712,9.313,-0.212567,-0.43,0.168206,-0.139424,0.522535,0.129746,-0.087012,-4.273598,-0.431777,-1.293838,-0.125702,0.545232,-0.684876,0.253042
494,63.5868,0.00797711,0.165656,0.65622,0.528331768,0,0,0.564055979,11.91440126,0.534988,7.83634,0.03141155,0.19,2.032652,0.853902,-6.643856,-4.427492,0.43166039,-6.643856,-1.214994,-0.877729,0.47599967,0.02872038,2.172883,-6.643856
86,25.11031,42.8068,7.89596,418.739,0,0,0,0.875350475,6.95230661,0.0943,10.831,0.471294,-0.41,0.096277,0.219899,0.503094,0.251278,0.714536,-0.142102,0.111331,0.055744,-0.215609,-0.901291,0.45211,1.536892
18,371.5394,11.6507,8.4081,38.8683,0,0,0,0.575333595,2.93429059,-0.277437,9.22485,-0.103133,-1.57,0.497229,0.095092,0.186687,0.155842,0.151128,0.261903,0.107227,-0.221944,0.183839,0.1786,-0.796888,0.148308
1,1257.07472,2.91657,0.0989349,10.7573,0.853179975,0,0,0.139342904,2.89489364,-0.296521,7.96809695,-0.929617,1.54,-1.073713,-1.257155,-1.396128,1.975835,-1.651891,-1.969337,-1.350952,-2.21767,-1.043129,1.229697,-0.824071,-0.714916
61,702.63417,6.96277,2.66429,14.5914,0.504094097,0,0,0.757599056,6.46145605,0.096578,7.826,0.483828,-0.53,0.07575,-0.094362,0.166779,0.134763,0.174445,-0.140097,0.175602,-0.239184,0.141239,0.117682,0.155595,0.13845
8,13.65731,7.11475,0.493971,3.61168,0,0,0,0.28995356,1.96195718,-0.297516,4.14163,1.219704,-0.08,0.999572,0.589845,-0.206759,-0.318889,-0.18895,0.585191,1.148323,-0.796321,0.223636,1.473649,2.180436,2.239681
66,215.89598,0.96737,0.56644,4.20784,0,0,0,0.262694746,3.94830677,0.59969,9.8233,0.678289,0.42,-0.476032,0.361334,1.255387,0.48756,1.078483,-0.339093,0.334788,0.456984,0.547243,0.750392,0.833271,1.700856
251,2197.61027,10.0662,13.4326,1.48106,0,0,0,0.233205885,0,-0.160421,7.12955,-0.677871,0.41,-3.298035,0.318325,0.2769,-0.114095,-0.683513,-1.216862,0.395553,0.367891,-0.118386,0.18352,-0.371515,0.547457
10,50.21273,6.22742,0.206924,0.520784,0,0,0,0.418466419,4.89372234,-0.193429,5.93072,-2.399747,-1.46,-1.137722,-6.643856,-6.643856,0.541637,0.391674,-2.227206,-0.842868,-6.643856,0.242116,-0.521846,1.020086,0.625779
72,6992.13025,0.728949,347.112,12.4928,0,0,0,0.698162794,5.64448814,-0.087549,4.18145,0.458873,-0.63,0.297866,0.331335,-0.482132,0.327414,0.254231,3.4284,-0.428985,0.469869,0.252735,0.474404,-2.554696,0.341726
275,30.64753,4.42862,0.351006,0.613246,0,0,0,0.746013939,1.99049944,0.696484,7.79306,-3.435095,-0.67,0.19724,-0.18414,0.263691,0.31789,-0.16583,1.704816,0.214107,0.230369,-0.190293,-1.372894,-2.553513,1.043838
84,1311.19681,0.0309397,0,7.00215,0.043275488,0,0.006158818,0.212002998,3.064864774,0.676946,7.6805336,-0.01152287,1.0574,0.34968531,-0.05232849,-0.10318966,-0.56941481,-0.10899229,-0.6849938,0.12784774,0.549731,0.38111,0.52265133,1.100968,-0.44004952
1,840.47456,19.733504,9.84867362,22.3163212,0.096690737,0,0.015733089,0.618511289,4.780693246,-0.03692285,8.1534473,-0.06566518,-0.3778,0.03649661,0.08572333,0.034703,-0.0003635,-0.04570903,0.13064531,-0.16512999,0.05141641,0.01254906,0.00428813,-0.00421244,-0.28765589
62,179.81605,20.5299976,14.0272825,24.9816939,0,0,0.00894081,0.22936825,3.703149374,0.00015983,7.95346295,-0.06251428,0.4301,-0.04906039,0.04051088,0.06550764,-0.02982878,-0.07796289,0.10221837,-0.13702528,0.07742179,0.03245708,0.02650569,0.01913065,0.1059407
1,5.42256,9.06451,0.744032,7.89733,0,0,0,0.396258533,1.70705006,-0.111426,10.53455,0.786301,0.0069,-2.985417,0.233962,-0.548357,-1.77715,0.722664,0.345526,0.528463,-0.615888,0.264201,-0.471305,0.716758,0.462219
65,10.25364,119.41,33.9225,62.6791,0.389625962,0,0,0.782960892,37.57141285,-0.035311,3.18948,0.17372,-0.58,0.148224,0.065452,0.09304,0.080909,-0.059406,0.207141,0.114459,-0.277899,0.100863,-0.318022,0.526144,-0.277855
55,350.77826,0.179242,0.19893,6.4103,0.930627006,0,0.957427108,0.132359073,1.6697435,0.253541,6.5818248,-2.301667,-1.19,2.247876,-6.643856,-1.821252,-2.517421,2.242977,1.651026,-6.643856,3.337152,-1.619486,4.054573,-6.643856,-1.539999
17,295.69785,0,0.00948479,0.191225,0.826392613,0,0.957427108,0.111908376,1.6697435,0.592445,8.8319872,-1.29290506,0.56,-0.38224854,-0.18035444,-0.44904277,-0.74659556,-0.17716712,-0.86525692,-0.31763537,0.07161945,0.21172644,0.04058773,-1.89045284,0.80536681
606,8.73654,0.572294,1.95006,14.5682,0,0,0.957427108,0.309100866,3.92083295,1.386835,8.46485,-5.16217,-0.69,0.60359,-0.539329,0.410855,1.463754,-0.333732,-0.427672,1.497806,-0.664823,-0.303501,0.954902,2.686582,-0.591849
2317,141.56503,0.0102511,71.5396,0.105563,0,0,0,0.111908376,2.89366853,-1.177008,6.34038,0.12489576,-0.6,-0.21861714,-0.56150845,-0.31062661,-0.02412148,2.844444,-1.4369219,0.01881562,-0.16045021,-0.25132826,0.81810696,-3.21139646,-0.82959462
224,2760.21963,2.52129,17.4681,0.987103,0,0,0.957427108,0.506795704,1.96359409,1.397437,7.1103,2.948177,-1.0477,1.016834,1.493583,1.199714,0.991508,1.975555,0.77321,1.852474,1.84469,1.304439,1.058942,0.944593,2.036873
96,269.5604,69.4841,332.028,33.6985,0.451842443,0,0,0.146139458,2.32162457,0.397184,5.96149,0.182789,-0.31,-0.10983,-0.379826,0.55206,0.311363,-0.302509,0.768511,0.274249,-0.082523,0.091203,0.325818,-0.68478,-0.42945
212,378.83872,0.0651891,13.2527,0.0750059,0,0,0,0.111908376,3.866916,-6.643856,8.1750077,-0.33788523,0.71,-0.75220854,-1.94011192,-0.62343955,1.453106,0.989182,-2.93679486,-0.77880424,-1.44935226,-0.10592253,-3.25290842,-3.04835479,-0.9341574
282,21.66294,22.3868,7.43044,125.666,0,0,0,0.17792584,4.240679926,0.247843,6.92781,0.107895,-0.29,0.097662,0.143353,0.276349,0.093473,-0.159856,0.182909,0.168244,0.23171,0.109867,0.136839,0.36411,0.258128
109,637.88987,0.163501,23.5694,0.659191,0,0,0.651169479,0.390099078,12.63081829,-0.28444,7.5006,-6.643856,-0.01,0.850832,0.814529,-2.676838,0.657492,0.533192,-2.216272,0.920978,-1.134928,1.075032,-0.876634,-0.681184,0.848719
