Brain_Anterior_cortex_GTExFC,Breast_Tissue_GTExFC,HIPred,mousescore_Exomiser,SDI,RVIS_Score,Colon_Transverse_GTExFC,Brain_Cortex_GTExFC
-0.43613704,0.03513182,0.111908376,0,1.98266541,1.48,-0.4979488,-0.65268413
-0.44483804,0.40419753,0.144167379,0,0,1.49,-0.64339655,-0.56487364
-0.279879,0.227781,0.563471615,0,6.67916052,-0.84,0.114352,0.083035
0.34335,-0.163886,0.579714477,0,3.902466209,-0.38,-0.15791,0.259248
-0.51941,0.855685,0.455463469,0.497331948,3.27505451,-0.89,0.381762,0.380092
-6.643856,0.0170602,0.22862041,0,2.99226437,0.31,-0.81945334,1.508609
-1.16525972,2.077231,0.146139458,0,1.86907763,0.61,-0.29874676,0.13979704
-0.338725,-0.289543,0.672696948,0.395367293,1.90038475,-0.16,-0.16758,0.238934
3.044109,-0.37289,0.80871886,0,2.99056035,-0.98,0.195191,0.281809
-0.499819,-0.740519,0.527515531,0,0,0.76,-1.658658,-0.890287
0.574886,0.247843,0.54646343,0,2.96331746,-0.73,0.645128,-0.222096
0.341451,0.66835,0.746229529,0,1.99962367,-1.1,0.468743,0.597113
-0.726059,-0.171249,0.640711069,0,0,1.05,0.44301,-0.191484
0.313907,-0.123625,0.650558949,0,1.99992492,-0.2,-0.270962,-0.102571
0.287155,-0.344191,0.737545311,0,8.90483434,0.04,0.12304,0.219026
0.415687,0.579013,0.852899194,0.494209116,10.79929478,-0.64,0.60788,0.370477
-0.147811,-0.124068,0.306420118,0.545042391,6.97589348,1.34,0.329098,0.214522
0.411528,0.470458,0.693781972,0,3.66240179,-1.89,-0.206078,0.230737
-2.179083,-1.552031,0.833875239,0.477894065,2.94475488,-0.0635,-0.099735,-0.527868
0.62266,0.582704,0.209607884,0,3.97250131,-0.0794,-0.285309,0.236576
1.196167,0.608337,0.71511656,0,1.99990361,-0.09,-0.956088,0.230452
0.8744294,-6.643856,0.608832916,0.292197168,5.95345819,-0.921399239,-0.972934,-0.39534363
-0.607843,-0.843818,0.250911236,0,9.90845216,1.01,1.777298,-0.542704
-3.980966,4.361848,0.348049432,0,4.93580207,-0.16,2.945032,-6.643856
-0.151077,0.278876,0.275690168,0,2.87341017,0.1649,-0.697553,-1.253592
-0.396594,0.142447,0.443194807,0,1.61745951,0.04,0.165707,0.221641
-0.44259306,0.22867553,0.250955823,0,4.81544009,0.5321,-0.56485386,-0.23379828
0.158363,0.101575,0.794491291,0.514240382,4.90475214,-0.36,0.230025,0.154901
0.211758,0.067522,0.824708164,0,8.79676704,-0.43,0.312155,-0.066979
0.375836,-0.240991,0.794239461,0.479453267,6.7860231,-0.14,-0.106626,-0.239946
-0.39379534,-2.7654667,0.25535503,0,2.424575036,1.67,-1.01532765,-0.81200667
-0.37461075,0.28328976,0.111908376,0,1.969734891,1.16,-0.68661393,-0.20076735
0.673385,-0.114031,0.824708164,0.485853291,3.97104425,-0.87,-0.283453,-0.234167
0.598427,0.795309,0.207279682,0,14.82926659,-1.37,0.677928,0.527408
-0.316706,-0.108166,0.3721928,0,4.97086711,2.16,0.047526,0.188074
-0.304386,-0.128681,0.71101737,0,7.43867349,-0.05,-0.023312,0.042989
0.281638,0.091006,0.782960892,0,12.50320448,-0.47,-0.101644,-0.088369
0.324622,-0.045352,0.782960892,0,9.67742038,-0.41,-0.04383,-0.077157
-0.12614,-0.066705,0.497687757,0,4.28855844,-0.2,-0.096828,-0.36418
-0.332921,-0.373508,0.782960892,0,15.67297733,-0.23,-0.163957,-0.15209
0.319639,-0.078277,0.824708164,0,7.74742911,0.19,-0.413444,0.22702
0.068619,-0.407651,0.748882174,0,2.93433955,-3.08,0.195906,0.502132
-3.490059,0.788607,0.292119116,0,1.70705006,0.52,-2.190401,1.200768
-0.329044,-0.067671,0.655866444,0,8.5953168,0.3,-0.203474,-0.052798
0.220435,-0.439804,0.566305161,0,3.86565544,0.51,-0.528587,-0.414822
-0.536085,-1.171325,0.152543604,0.76009538,8.75669984,-0.05,-0.355014,0.248785
0.729081,-0.623498,0.139342904,0,1.99980452,1.6967,0.740071,0.720166
-0.790156,-1.8706929,0.748086929,0,2.80908984,-0.47,1.033212,0.130377
-0.35030583,-0.08744888,0.111908376,0,0,-0.25,-0.66280343,0.00197034
-0.14012554,0.03095872,0.214144617,0.005142404,3.518357003,0.2448,-0.03501797,0.03997697
1.921278,0.993061,0.509073628,0.277105366,5.531834036,-0.0039,0.789989,1.51973
-0.32951162,0.78397357,0.146390479,0,1.104495013,0.7731,-0.63327866,-0.20341314
0.18973813,0.606714,0.437786306,0.171987299,3.74020526,-0.4486,1.025522,0.11540343
-0.2238522,-0.718168,0.683458215,0.298367349,6.443020206,-0.4888,0.16007716,0.05207849
-0.597908,0.45423072,0.14872127,0.004651927,1.109252853,0.4459,-0.61327833,-0.21865883
-0.456331,0.110063,0.289121509,0,10.515842,1.85,-0.138215,0.071972
-0.220814,-0.115311,0.146139458,0,3.760210191,1.44,0.17203,-0.3168
0.433574,-0.250331,0.402789861,0,1.47083869,-0.71,-0.221796,0.061828
0.247412,0.211459,0.426189721,0,2.97179723,-2,0.094836,-0.118852
