,IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Minor Salivary Gland_GTExTPM,Pituitary_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC
106,0.0,0.0,184.0,2249.29606,-0.235,5.63725,14.4716,0.0550476,0.5646668979999999,0.0,0.0,0.9797620898547541,0.836875796,2.75424746,0.155358
107,0.0,0.0,147.0,9.29304,0.2265,0.190075,34.5013,0.04291180000000001,0.0,0.0,0.0,0.204306172514215,0.7484053970000001,2.80882657,-0.258067
108,2.0,1.0,26.0,58.06389,0.5164,0.0,0.0,0.0,0.0,0.0,0.609459847,0.0860071410894876,0.295108467,3.85244898,-6.6438559999999995
109,0.0,0.0,247.0,415.38531,-0.4044,0.0,0.0,0.0,0.0,0.0,0.0,0.16283934543459602,0.123297259,4.95013216,-0.5642199999999999
110,0.0,0.0,17.0,1766.0938600000002,-0.1996,8.752239999999999,0.5927899999999999,23.7693,0.0,0.0,0.0,0.0,0.238498077,1.98266541,-0.813887
111,0.0,0.0,187.0,29.873240000000003,-0.8326,41.3305,39.9564,0.356516,0.5706635320000001,0.0,0.9005028829999999,0.215546849622465,0.833060265,24.59899632,-0.681596
112,2.0,1.0,29.0,290.01884,0.2409,423.827,1324.37,234.50099999999998,0.0,0.0,0.957427108,0.9995400816303,0.7039938570000001,5.98324176,0.11195899999999999
113,0.0,0.0,1.0,114.40031,0.003396000000000005,0.686156,5.89264,0.5616680000000001,0.0,0.0,0.0,0.0209357972702136,0.458951801,1.97547522,-0.867827
114,1.0,1.0,297.0,41.837990000000005,-0.8064,0.0240421,0.05927919999999999,0.00334462,0.0,0.0,0.0,0.9999948957627858,0.778094649,10.67917885,0.535651
115,0.0,0.0,467.0,199.89032,0.3888,6.88495,5.6100900000000005,2.24228,0.05904091235,0.0,0.09750878597000001,1.4136868681e-06,0.593201816,4.7548834836000005,-1.056082
