wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
19,52.00083,0.2371,2.93186,4.17847,8.46457,0.903982,0.0,0.0,0.0,0.443419188,0.0233215368712169,1.00352946,-0.337757,11.9668,0.860247,-0.82138,,-6.643856,-6.643856,0.836792,-6.643856,-2.766297,-2.343962,-0.651352,0.846865,-6.643856,-6.643856,1.065434,1.366186,0.573317,0.992851,0.714032,-6.643856,1.985635,1.356373,-1.599123,-1.692763,0.43372,0.990246,0.736897,ASPN,possible
53,35.43011,-0.4331,10.2796,8.43137,4.65923,17.3962,0.0,0.0,0.0,0.767620981,0.999997542188065,11.67800063,-0.222924,4.39689,0.365422,0.518759,-1.02,-0.884281,0.182662,-0.097032,1.509722,0.754313,-0.220279,-0.327076,0.10753,0.288526,0.979215,0.264728,0.092006,-0.064089,0.430169,-0.664127,-0.177482,0.360808,-0.110817,0.794762,0.192296,-0.546928,0.227811,0.143711,ATP2B1,probable
256,7.94254,-0.3397,0.0373851,0.0435507,0.0123188,0.104658,,,,0.111908376,0.166948561167818,,,9.26248,,,0.32,,,,,,,-1.065688,,,,,,,,,,,,,,,,,ATP5L2,least likely
34,463.55581,0.3715,4.07969,3.52701,0.454302,2.21285,0.358930757,0.0,0.0,0.79961127,0.337855763889345,12.5785497,0.395413,8.03366,-0.47858,-1.141365,-0.19,0.722441,-0.417547,-0.286526,0.563952,-0.477416,0.479139,-0.119617,0.262633,-0.190091,0.101861,0.15192,0.243885,0.165076,-0.275693,0.204538,0.290083,0.502155,-0.16634,-1.513681,0.367698,0.114044,0.624264,-0.350696,BCL2,probable
14,2261.17843,0.2663,0.0511744,0.16486,0.0434151,0.793846,0.0,0.0,0.0,0.7969836,0.946719308479018,9.78859286,0.740153,8.18608,-0.331336,-0.856099,0.44,-1.504783,1.324891,-1.693179,-6.643856,-1.414418,-2.467515,0.224878,-0.639539,1.368685,-0.464901,0.263623,0.249271,-0.25669,0.701987,-2.809596,0.88569,-6.643856,1.852603,2.302165,-2.231965,-0.340264,1.946759,,BDNF,probable
109,95.45994,0.2821,0.473483,1.16585,0.247663,3.50066,0.0,0.0,0.0,0.852899194,0.991704371391891,5.90929868,-0.202963,7.48742,0.506719,-3.74238,-0.76,-0.349609,0.192904,0.120866,1.542701,0.177796,-6.643856,0.459038,0.20378,-0.520185,0.287248,0.433674,0.109265,-0.101565,-1.139811,-0.232602,-0.349703,1.040278,-0.44812,0.864037,-0.264899,0.453971,-6.643856,-0.139993,BMPR1B,possible
309,105.00582,0.2941,4.0002,13.7827,4.50011,4.75043,0.494209116,0.0,0.0,0.451622128,0.679379972140309,1.99950007,0.678423,7.97042,0.38313,0.678715,0.08,0.446365,0.30929,0.370038,0.327695,0.625174,0.62613,0.327342,0.391125,0.497171,0.595103,0.42858,0.391519,0.713915,0.652726,0.385128,0.320254,0.401457,0.589765,0.780775,0.789604,0.534168,0.412224,0.408895,C1GALT1,possible
49,,-0.1845,,,,,,,,0.17792584,4.99767687708523e-06,,,9.46396,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,C1orf192,least likely
202,,0.5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C21orf90,least likely
241,,-0.3624,,,,,,,,,,,,9.03825,,,,,,,,,,,,,,,,,,,,,,,,,,,C6orf123,least likely
